fluid,operator,project_status,inplace,depth,temp,poro,perm,saturate,api_dens,visc,avg_fluid_rate,location,region,prospect_rank
Gas,NON_PERTAMINA,ONSHORE,280.0,5627.0,97.53791063072087,0.2315401,396.2948,0.5446487,0.6547354,0.0,61.13619,Jawa Timur,Jawa,1
Gas,PERTAMINA,OFFSHORE,5.0,1588.0,60.75444851743777,0.3716486,975.0449,0.5861887,0.7697566,0.0,8.260639,Jawa Barat,Jawa,0
Gas,PERTAMINA,OFFSHORE,17.31,3775.0,84.0044226961409,0.3508701,1985.562,0.6278563,0.7746674,0.0,0.2098919,Jawa Barat,Jawa,0
Gas,PERTAMINA,BOTH,7135.0,6383.0,76.45,0.2012669,619.7617,0.6813745,0.7837487,0.0,15.83387,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,ONSHORE,15.9,2067.0,67.05331183585456,0.2130108,108.1771,0.7014102,0.7106263,0.0,6.929915,Riau,Sumatera,1
Gas,NON_PERTAMINA,OFFSHORE,76.0,4000.0,85.84414419803454,0.2221543,666.4109,0.6238031,0.7147052,0.0,5.009275,Laut Natuna Utara,Sumatera,1
Gas,NON_PERTAMINA,ONSHORE,861.0,4275.0,88.00677819973974,0.2883004,3978.549,0.7396817,0.8450114,0.0,459.4279,Sumatera Selatan,Sumatera,1
Gas,NON_PERTAMINA,ONSHORE,263.0,6588.0,103.465942973934,0.1573275,122.5359,0.4281163,0.8034328,0.0,16.7785,Jawa Timur,Jawa,1
Gas,NON_PERTAMINA,ONSHORE,2.159,2000.0,66.2316006569589,0.2658782,92.94952,0.6991525,0.8193384,0.0,23.66417,Maluku,Timur,1
Gas,PERTAMINA,OFFSHORE,6.0,3775.0,84.0044226961409,0.3386388,126.3486,0.6991754,0.7746674,0.0,10.57149,Jawa Barat,Jawa,0
Gas,PERTAMINA,OFFSHORE,26.0,1900.0,51.7,0.2552916,56.43939,0.7828463,0.9176663,0.0,4.457372,Jawa Barat,Jawa,0
Gas,NON_PERTAMINA,OFFSHORE,280.0,7736.0,109.87596095885232,0.120361,193.0441,0.1742464,0.7977383,0.0,6.420026,Selat Malaka,Sumatera,0
Gas,NON_PERTAMINA,OFFSHORE,173.0,1250.0,55.549934796073416,0.2807194,814.5703,0.6468639,0.8417832,0.0,11.06545,Laut Natuna Utara,Sumatera,1
Gas,NON_PERTAMINA,OFFSHORE,34.0,3775.0,84.0044226961409,0.3198842,160.4861,0.6991754,0.7746534,0.0,22.01876,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,ONSHORE,527.0,7250.0,107.24037123090896,0.1528479,20.85388,0.4882834,0.8031358,0.0,51.88389,Sumatera Selatan,Sumatera,1
Gas,NON_PERTAMINA,ONSHORE,272.0,5500.0,96.70825457257487,0.2191516,184.5793,0.5135043,0.7392845,0.0,53.27605,Jambi,Sumatera,1
Gas,NON_PERTAMINA,ONSHORE,675.042,7750.0,109.9503265939446,0.2454521,861.9648,0.7672809,0.651668,0.0,7.272779,Papua Barat,Timur,1
Gas,PERTAMINA,OFFSHORE,360.0,3775.0,84.0044226961409,0.2626095,332.6764,0.5920855,0.8382971,0.0,53.45844,Jawa Barat,Jawa,1
Gas,PERTAMINA,OFFSHORE,239.0,3775.0,84.0044226961409,0.2739607,151.1685,0.6236232,0.8365216,0.0,14.39353,Jawa Barat,Jawa,1
Gas,NON_PERTAMINA,ONSHORE,6743.0,11056.0,204.0,0.1394514,18.67255,0.5903869,0.7125723,0.0,15.83387,Aceh,Sumatera,1
Gas,NON_PERTAMINA,ONSHORE,1337.0,13993.0,137.15753165681127,0.04416493,12.28067,0.7982349,1.457996,0.0,15.70125,Maluku,Timur,1
Gas,NON_PERTAMINA,OFFSHORE,8.586,3035.0,59.8829,0.187049,1219.978,0.5206411,0.8328982,0.0,11.79412,Laut Natuna Utara,Sumatera,2
Gas,PERTAMINA,OFFSHORE,18.405,3775.0,84.0044226961409,0.3553947,67.91208,0.6278563,0.7746674,0.0,125.5798,Jawa Barat,Jawa,0
Gas,NON_PERTAMINA,OFFSHORE,92.3,8200.0,112.29721097189412,0.3004412,57.95309,0.6225463,0.8423855,0.0,30.00198,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,ONSHORE,80.9,7785.0,110.13587362699516,0.1547602,245.0844,0.4875555,0.8034328,0.0,78.28732,Aceh,Sumatera,1
Gas,NON_PERTAMINA,BOTH,107.11,5000.0,93.31992955040016,0.3014258,57.95309,0.7033963,0.8423855,0.0,66.49445,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,BOTH,44.1,2300.0,69.78761923629938,0.206967,963.394,0.4788652,0.7165383,0.0,9.279937,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,BOTH,62.0,4068.0,86.3873547926623,0.3742266,975.0449,0.4549168,0.7697566,0.0,74.84211,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,BOTH,125.599,3250.0,79.42671121977969,0.3029544,114.4529,0.6609739,0.8423855,0.0,9.10302,Laut Jawa,Jawa,2
Gas,NON_PERTAMINA,BOTH,427.0,3691.0,83.30002434867919,0.2626095,332.6764,0.5920855,0.8382971,0.0,49.19107,Papua Barat,Timur,1
Gas,NON_PERTAMINA,OFFSHORE,75.0,3775.0,84.0044226961409,0.3033779,114.4529,0.7033963,0.8423855,0.0,52.61821,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,OFFSHORE,820.0,2250.0,69.2160043282578,0.1977402,165.1927,0.4614256,0.7808007,0.0,47.48006,Laut Jawa,Jawa,1
Gas,NON_PERTAMINA,ONSHORE,20.31,4275.0,88.00677819973974,0.3336299,325.2355,0.6991754,0.7776215,0.0,21.28564,Jambi,Sumatera,1
Gas,PERTAMINA,BOTH,14.9,3927.0,85.25452045501567,0.2674828,74.64626,0.5689393,0.7615536,0.0,70.17223,Jawa Barat,Jawa,1
Gas,PERTAMINA,BOTH,49.804,5000.0,93.31992955040016,0.2907282,2487.279,0.6647971,0.8450114,0.0,74.64538,Jawa Barat,Jawa,1
Gas,PERTAMINA,ONSHORE,9.7,10000.0,120.95388620255648,0.1920483,106.1219,0.7816007,0.8186965,0.0,6.950097,Kalimantan Timur,Kalimantan,1
Gas,PERTAMINA,BOTH,47.0,3995.0,85.80397488386213,0.2972679,235.6735,0.6878065,0.8423855,0.0,71.42558,Selat Malaka,Sumatera,1
Gas,PERTAMINA,BOTH,81.0,3995.0,85.80397488386213,0.297145,59.63661,0.6132483,0.8423855,0.0,78.28732,Selat Malaka,Sumatera,1
Gas,PERTAMINA,OFFSHORE,1.95,2300.0,64.9,0.1600254,85.91798,0.4686813,0.7920626,0.0,10.24635,Jawa Barat,Jawa,0
Gas,PERTAMINA,ONSHORE,29.27,4275.0,88.00677819973974,0.3209264,160.4861,0.6991754,0.7746534,0.0,7.838592,Riau,Sumatera,1
Gas,PERTAMINA,BOTH,3.953,1581.0,60.65409572930165,0.2984117,165.2994,0.694718,0.8423855,0.0,6.490052,Jawa Barat,Jawa,1
Gas,PERTAMINA,ONSHORE,8.325,1970.0,65.85808351136274,0.2376418,59.30872,0.5408942,0.6248093,0.0,27.24387,Kalimantan Timur,Kalimantan,1
Gas,NON_PERTAMINA,ONSHORE,20140.0,4275.0,88.00677819973974,0.3072473,942.7424,0.6183462,0.8440693,0.0,165.6952,Sumatera Selatan,Sumatera,1
Gas,PERTAMINA,BOTH,9.429,1985.0,66.04528367644336,0.2205219,165.1224,0.6912154,0.739697,0.0,13.31598,Jawa Barat,Jawa,1
Gas,PERTAMINA,BOTH,2.913,3250.0,79.42671121977969,0.1968782,107.3559,0.5945665,0.8201417,0.0,2.691344,Jawa Barat,Jawa,1
Gas,NON_PERTAMINA,ONSHORE,207.42,5300.0,95.37704372152862,0.2037659,148.4817,0.502045,0.8806835,0.0,25.38097,Jambi,Sumatera,1
Gas,PERTAMINA,OFFSHORE,201.0,8250.0,112.55295308197896,0.1820882,58.2107,0.6009694,0.819289,0.0,64.21008,Selat Makasar,Kalimantan,1
Gas,PERTAMINA,OFFSHORE,3.5,3300.0,103.4,0.2727549,879.6625,0.4497186,0.9040906,0.0,60.1636,Jawa Barat,Jawa,0
Gas,NON_PERTAMINA,BOTH,1438.15,6174.0,100.98336952691272,0.1216229,193.0441,0.3000443,0.7977383,0.0,17.16655,Selat Malaka,Sumatera,1
Gas,PERTAMINA,BOTH,265.4,8200.0,112.29721097189412,0.2769079,269.4337,0.6133066,0.8417832,0.0,66.46856,Kalimantan Utara,Kalimantan,1
Gas,PERTAMINA,OFFSHORE,141.018,7100.0,106.40467283715252,0.2234726,93.64886,0.5616331,0.6433482,0.0,32.92207,Selat Makasar,Kalimantan,1
Gas,NON_PERTAMINA,OFFSHORE,157.0,5948.0,99.58397091954244,0.2368029,502.7383,0.7327808,0.6248093,0.0,82.31956,Laut Natuna Utara,Sumatera,1
Gas,PERTAMINA,BOTH,49.32,2300.0,59.400000000000006,0.173438,478.4951,0.3863795,0.8328982,0.0,15.51847,Kalimantan Utara,Kalimantan,1
Gas,PERTAMINA,OFFSHORE,6.19,1800.0,64.9,0.2837435,2360.414,0.6360077,0.756624,0.0,56.15696,Jawa Barat,Jawa,0
Gas,PERTAMINA,BOTH,18882.0,10780.0,81.4,0.2997081,483.3291,0.8025897,0.630865,0.0,27.99518,Selat Makasar,Kalimantan,2
Gas,NON_PERTAMINA,OFFSHORE,88.0,3710.0,80.30000000000001,0.2786436,302.4089,0.4808362,0.7803656,0.0,63.91319,Laut Natuna Utara,Sumatera,2
Gas,PERTAMINA,ONSHORE,1.5,10500.0,123.18245701796556,0.1721202,78.75341,0.7793997,0.8098195,0.0,12.89167,Kalimantan Timur,Kalimantan,1
Gas,NON_PERTAMINA,OFFSHORE,2604.391,8735.0,116.05,0.1261581,250.5103,0.7742893,0.7053734,0.0,30.3366,Papua Barat,Timur,1
Gas,NON_PERTAMINA,ONSHORE,2604.391,8735.0,116.05,0.1261581,250.5103,0.7742893,0.7053734,0.0,30.3366,Papua Barat,Timur,1
