,fluid,field_name,operator,project_status,project_level,inplace,depth,temp,poro,perm,saturate,api_dens,visc,cap_cost,opr_cost,total_cost,avg_fluid_rate,location,region,NPV,PI
0,Gas,ALAS TUA WEST,EXXONMOBIL CEPU LTD.,ONSHORE,X1. Discovery under Evaluation,280.0,5627.0,97.53791063072089,0.2315401,396.2948,0.5446487,0.6547354,0.0,88.12167,7.390892,95.51256199999999,61.13619,Jawa Timur,Jawa,219.3734,2.2968015453297133
1,Gas,APNC,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,5.0,1588.0,60.75444851743777,0.3716486,975.0449,0.5861887,0.7697566,0.0,16.35082,0.4825838,16.8334038,8.260639,Jawa Barat,Jawa,6.763115,0.40176752606623745
2,Gas,APNX,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,17.31,3775.0,84.0044226961409,0.3508701,1985.562,0.6278563,0.7746674,0.0,31.21298,5.44456,36.657540000000004,0.2098919,Jawa Barat,Jawa,25.00537,0.6821344258234457
3,Gas,BEKAPAI,PT PERTAMINA HULU MAHAKAM,BOTH,E8. Further Development Not Viable,7135.0,6383.0,76.45,0.2012669,619.7617,0.6813745,0.7837487,0.0,7.269243,15.76542,23.034663000000002,15.83387,Selat Makasar,Kalimantan,3.810051,0.16540511141838715
4,Gas,BENTU DEEP,EMP BENTU LTD.,ONSHORE,X1. Discovery under Evaluation,15.9,2067.0,67.05331183585456,0.2130108,108.1771,0.7014102,0.7106263,0.0,6.147158,1.867879,8.015037,6.929915,Riau,Sumatera,112.4465,14.029442409311399
5,Gas,BRONANG,MEDCO E&P NATUNA LTD.,OFFSHORE,X1. Discovery under Evaluation,76.0,4000.0,85.84414419803454,0.2221543,666.4109,0.6238031,0.7147052,0.0,30.84438,10.0907,40.93508,5.009275,Laut Natuna Utara,Sumatera,35.92192,0.87753389024768
6,Gas,BUDIDEEP,TATELY N.V.,ONSHORE,X1. Discovery under Evaluation,861.0,4275.0,88.00677819973974,0.2883004,3978.549,0.7396817,0.8450114,0.0,33.1321,48.42663,81.55873,459.4279,Sumatera Selatan,Sumatera,651.2061,7.984505153525564
7,Gas,CENDANA,EXXONMOBIL CEPU LTD.,ONSHORE,X1. Discovery under Evaluation,263.0,6588.0,103.465942973934,0.1573275,122.5359,0.4281163,0.8034328,0.0,30.63393,3.880788,34.514718,16.7785,Jawa Timur,Jawa,18.96457,0.5494632753482152
8,Gas,DAWANG,CITIC SERAM ENERGY LTD.,ONSHORE,X1. Discovery under Evaluation,2.159,2000.0,66.2316006569589,0.2658782,92.94952,0.6991525,0.8193384,0.0,359.2983,254.4973,613.7955999999999,23.66417,Maluku,Timur,89.38012,0.14561870433740487
9,Gas,GPS,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,6.0,3775.0,84.0044226961409,0.3386388,126.3486,0.6991754,0.7746674,0.0,359.3751,466.0526,825.4277,10.57149,Jawa Barat,Jawa,91.82472,0.1112450187944989
10,Gas,GQE,PT PERTAMINA HULU ENERGI OFFSHORE NORTH WEST JAVA,OFFSHORE,X3. Development Not Viable,26.0,1900.0,51.7,0.2552916,56.43939,0.7828463,0.9176663,0.0,92.09724,22.704,114.80124,4.457372,Jawa Barat,Jawa,205.7502,1.7922297703404597
11,Gas,JAMBU AYE UTARA,ENI (KRUENG MANE),OFFSHORE,X3. Development Not Viable,280.0,7736.0,109.87596095885232,0.120361,193.0441,0.1742464,0.7977383,0.0,42.10101,4.957175,47.058185,6.420026,Selat Malaka,Sumatera,11.2135,0.23829010829890696
12,Gas,KACI,MEDCO E&P NATUNA LTD.,OFFSHORE,X1. Discovery under Evaluation,173.0,1250.0,55.549934796073416,0.2807194,814.5703,0.6468639,0.8417832,0.0,40.94339,23.83304,64.77643,11.06545,Laut Natuna Utara,Sumatera,30.58914,0.4722263946932549
13,Gas,KAKATUA WEST,SANTOS (MADURA OFFSHORE) PTY. LTD.,OFFSHORE,X1. Discovery under Evaluation,34.0,3775.0,84.0044226961409,0.3198842,160.4861,0.6991754,0.7746534,0.0,347.0975,28.58821,375.68571000000003,22.01876,Laut Jawa,Jawa,11.68762,0.031110099982243136
14,Gas,KALIBERAU DALAM,TALISMAN SAKAKEMANG B.V.,ONSHORE,E3. Justified for Development,527.0,7250.0,107.24037123090895,0.1528479,20.85388,0.4882834,0.8031358,0.0,37.07056,38.78838,75.85893999999999,51.88389,Sumatera Selatan,Sumatera,74.63553,0.9838725666348622
15,Gas,KENANGA,PT GREGORY GAS PERKASA,ONSHORE,X2. Development Undetermined,272.0,5500.0,96.70825457257487,0.2191516,184.5793,0.5135043,0.7392845,0.0,17.89244,1.805221,19.697661,53.27605,Jambi,Sumatera,13.09721,0.6649119405598461
16,Gas,KIDO SHALLOW,GENTING OIL KASURI PTE. LTD.,ONSHORE,X2. Development Undetermined,675.042,7750.0,109.95032659394461,0.2454521,861.9648,0.7672809,0.651668,0.0,102.2376,57.4653,159.7029,7.272779,Papua Barat,Timur,171.6434,1.0747669578949413
